,kmeans_label
0,5
1,1
2,8
3,5
4,3
5,1
6,3
7,3
8,0
9,3
10,0
11,0
12,7
13,5
14,0
15,7
16,5
17,4
18,8
19,8
20,1
21,0
22,7
23,5
24,8
25,8
26,3
27,0
28,1
29,5
30,4
31,5
32,5
33,1
34,7
35,0
36,7
37,8
38,5
39,1
40,0
41,5
42,5
43,0
44,0
45,7
46,7
47,0
48,8
49,7
50,4
51,7
52,5
53,5
54,5
55,5
56,5
57,10
58,5
59,0
60,5
61,8
62,1
63,5
64,8
65,7
66,8
67,0
68,5
69,8
70,7
71,8
72,7
73,0
74,1
75,1
76,1
77,7
78,0
79,7
80,1
81,4
82,0
83,7
84,0
85,1
86,5
87,5
88,7
89,0
90,1
91,2
92,0
93,7
94,4
95,5
96,5
97,0
98,0
99,5
100,5
101,0
102,5
103,5
104,7
105,7
106,3
107,1
108,7
109,5
110,7
111,8
112,8
113,3
114,4
115,0
116,7
117,5
118,0
119,8
120,8
121,0
122,8
123,5
124,0
125,8
126,1
127,8
128,8
129,0
130,4
131,3
132,5
133,0
134,3
135,1
136,5
137,5
138,0
139,8
140,0
141,8
142,5
143,5
144,5
145,0
146,5
147,1
148,4
149,0
150,8
151,0
152,1
153,0
154,6
155,1
156,0
157,5
158,7
159,0
160,10
161,5
162,7
163,0
164,8
165,7
166,4
167,4
168,7
169,8
170,0
171,7
172,5
173,8
174,8
175,1
176,5
177,8
178,8
179,0
180,8
181,5
182,7
183,0
184,5
185,3
186,4
187,5
188,8
189,8
190,0
191,0
192,8
193,2
194,0
195,0
196,0
197,5
198,0
199,4
200,5
201,7
202,8
203,5
204,2
205,5
206,1
207,0
208,7
209,3
210,0
211,8
212,0
213,4
214,8
215,1
216,3
217,0
218,0
219,3
220,5
221,8
222,0
223,2
224,5
225,0
226,0
227,7
228,7
229,1
230,10
231,7
232,0
233,5
234,0
235,5
236,8
237,5
238,5
239,5
240,3
241,2
242,7
243,4
244,5
245,4
246,10
247,3
248,1
249,5
250,0
251,8
252,0
253,0
254,5
255,3
256,3
257,7
258,10
259,5
260,4
261,5
262,8
263,1
264,10
265,8
266,3
267,1
268,5
269,5
270,5
271,7
272,5
273,5
274,5
275,5
276,7
277,5
278,8
279,7
280,5
281,8
282,10
283,5
284,1
285,5
286,7
287,7
288,5
289,7
290,7
291,0
292,7
293,0
294,7
295,0
296,0
297,5
298,7
299,8
300,5
301,2
302,0
303,0
304,1
305,3
306,7
307,5
308,2
309,0
310,0
311,5
312,3
313,8
314,7
315,7
316,0
317,8
318,0
319,5
320,0
321,7
322,0
323,10
324,5
325,2
326,4
327,5
328,5
329,5
330,10
331,5
332,0
333,1
334,8
335,0
336,5
337,5
338,8
339,4
340,5
341,0
342,0
343,8
344,6
345,7
346,0
347,0
348,3
349,0
350,1
351,7
352,3
353,0
354,8
355,8
356,5
357,0
358,7
359,7
360,8
361,0
362,7
363,4
364,8
365,5
366,0
367,5
368,4
369,3
370,0
371,5
372,4
373,2
374,5
375,3
376,8
377,4
378,5
379,0
380,4
381,5
382,5
383,1
384,5
385,0
386,4
387,5
388,0
389,8
390,0
391,10
392,5
393,5
394,5
395,4
396,0
397,8
398,1
399,1
400,8
401,7
402,7
403,1
404,4
405,0
406,3
407,8
408,8
409,7
410,1
411,5
412,10
413,7
414,5
415,5
416,5
417,7
418,6
419,7
420,0
421,4
422,1
423,0
424,0
425,5
426,7
427,5
428,3
429,3
430,5
431,5
432,7
433,7
434,5
435,0
436,7
437,1
438,8
439,5
440,0
441,5
442,5
443,10
444,7
445,3
446,5
447,5
448,3
449,8
450,8
451,7
452,1
453,7
454,0
455,5
456,0
457,0
458,8
459,0
460,0
461,0
462,2
463,3
464,0
465,0
466,7
467,3
468,8
469,5
470,5
471,1
472,1
473,5
474,3
475,5
476,5
477,8
478,5
479,4
480,4
481,5
482,0
483,8
484,1
485,1
486,5
487,7
488,0
489,1
490,0
491,7
492,0
493,5
494,0
495,0
496,8
497,0
498,7
499,8
500,7
501,5
502,0
503,8
504,5
505,5
506,5
507,7
508,0
509,8
510,5
511,4
512,5
513,0
514,7
515,0
516,7
517,0
518,8
519,0
520,7
521,3
522,5
523,5
524,0
525,7
526,8
527,0
528,8
529,0
530,5
531,4
532,2
533,0
534,0
535,0
536,3
537,5
538,5
539,0
540,3
541,10
542,0
543,7
544,8
545,7
546,8
547,5
548,5
549,5
550,0
551,1
552,3
553,0
554,0
555,5
556,0
557,5
558,7
559,0
560,5
561,3
562,0
563,3
564,8
565,1
566,3
567,3
568,5
569,1
570,7
571,0
572,7
573,3
574,1
575,5
576,5
577,5
578,5
579,0
580,0
581,7
582,7
583,7
584,5
585,1
586,0
587,1
588,0
589,0
590,7
591,8
592,3
593,4
594,7
595,5
596,4
597,8
598,2
599,5
600,0
601,5
602,0
603,5
604,1
605,5
606,5
607,7
608,5
609,4
610,4
611,7
612,4
613,5
614,0
615,5
616,5
617,4
618,1
619,3
620,5
621,5
622,4
623,7
624,5
625,7
626,7
627,3
628,5
629,3
630,2
631,0
632,0
633,0
634,7
635,5
636,0
637,4
638,0
639,8
640,1
641,5
642,3
643,5
644,7
645,1
646,0
647,5
648,7
649,3
650,1
651,4
652,4
653,4
654,7
655,0
656,5
657,0
658,5
659,5
660,5
661,4
662,5
663,5
664,7
665,7
666,0
667,0
668,1
669,1
670,3
671,7
672,7
673,10
674,3
675,8
676,8
677,7
678,0
679,0
680,8
681,0
682,7
683,0
684,5
685,1
686,7
687,4
688,1
689,7
690,5
691,3
692,3
693,7
694,7
695,7
696,3
697,1
698,0
699,0
700,5
701,10
702,3
703,8
704,3
705,1
706,2
707,8
708,8
709,4
710,5
711,5
712,5
713,3
714,7
715,0
716,3
717,8
718,0
719,0
720,5
721,5
722,5
723,4
724,7
725,5
726,2
727,4
728,8
729,8
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,8
738,0
739,7
740,5
741,5
742,10
743,4
744,3
745,1
746,7
747,3
748,0
749,10
750,4
751,5
752,4
753,3
754,5
755,0
756,4
757,5
758,1
759,0
760,5
761,4
762,5
763,1
764,3
765,7
766,5
767,4
768,0
769,5
770,3
771,7
772,1
773,5
774,0
775,2
776,10
777,5
778,7
779,1
780,0
781,5
782,0
783,3
784,5
785,2
786,5
787,5
788,5
789,8
790,8
791,5
792,8
793,10
794,0
795,5
796,7
797,0
798,1
799,4
800,0
801,5
802,8
803,7
804,8
805,5
806,1
807,0
808,0
809,4
810,0
811,7
812,8
813,7
814,3
815,0
816,8
817,5
818,7
819,8
820,4
821,0
822,5
823,4
824,7
825,8
826,7
827,8
828,5
829,1
830,5
831,0
832,4
833,8
834,7
835,7
836,7
837,8
838,0
839,0
840,0
841,7
842,1
843,0
844,5
845,8
846,2
847,8
848,8
849,4
850,7
851,3
852,10
853,7
854,5
855,2
856,8
857,5
858,3
859,0
860,5
861,3
862,0
863,0
864,5
865,7
866,0
867,3
868,5
869,0
870,0
871,7
872,7
873,4
874,4
875,5
876,0
877,8
878,0
879,1
880,1
881,0
882,1
883,2
884,7
885,7
886,3
887,0
888,7
889,0
890,1
891,1
892,8
893,5
894,7
895,8
896,4
897,7
898,7
899,7
900,4
901,1
902,5
903,1
904,1
905,5
906,3
907,8
908,7
909,5
910,3
911,4
912,3
913,7
914,0
915,3
916,0
917,7
918,7
919,8
920,5
921,0
922,5
923,4
924,10
925,5
926,7
927,0
928,8
929,0
930,8
931,4
932,7
933,7
934,5
935,5
936,8
937,5
938,7
939,5
940,1
941,5
942,2
943,8
944,0
945,8
946,6
947,5
948,3
949,7
950,0
951,5
952,4
953,4
